Dataset,method,Experiment,Accuracy
18_maternal,10_dynamic+zero+knn,24,0.6010 ± 0.0000
18_maternal,10_dynamic+zero+knn,25,0.6749 ± 0.0000
18_maternal,10_dynamic+zero+knn,26,0.6010 ± 0.0000
18_maternal,10_dynamic+zero+knn,27,0.6601 ± 0.0000
18_maternal,10_dynamic+zero+knn,28,0.6059 ± 0.0000
18_maternal,10_dynamic+zero+knn,29,0.6305 ± 0.0000
18_maternal,10_dynamic+zero+knn,30,0.6404 ± 0.0000
18_maternal,11_all(dynamic+datawig+zero+knn),1,0.6798 ± 0.0352
18_maternal,11_all(dynamic+datawig+zero+knn),2,0.6909 ± 0.0438
18_maternal,11_all(dynamic+datawig+zero+knn),3,0.6929 ± 0.0454
18_maternal,11_all(dynamic+datawig+zero+knn),4,0.6890 ± 0.0430
18_maternal,11_all(dynamic+datawig+zero+knn),5,0.6948 ± 0.0472
18_maternal,11_all(dynamic+datawig+zero+knn),6,0.7005 ± 0.0479
18_maternal,11_all(dynamic+datawig+zero+knn),7,0.6969 ± 0.0457
18_maternal,11_all(dynamic+datawig+zero+knn),8,0.6997 ± 0.0473
18_maternal,11_all(dynamic+datawig+zero+knn),9,0.7033 ± 0.0490
18_maternal,11_all(dynamic+datawig+zero+knn),10,0.7062 ± 0.0483
18_maternal,11_all(dynamic+datawig+zero+knn),11,0.7067 ± 0.0465
18_maternal,11_all(dynamic+datawig+zero+knn),12,0.7048 ± 0.0477
18_maternal,11_all(dynamic+datawig+zero+knn),13,0.7034 ± 0.0485
18_maternal,11_all(dynamic+datawig+zero+knn),14,0.7021 ± 0.0480
18_maternal,11_all(dynamic+datawig+zero+knn),15,0.7030 ± 0.0477
18_maternal,11_all(dynamic+datawig+zero+knn),16,0.7027 ± 0.0485
18_maternal,11_all(dynamic+datawig+zero+knn),17,0.7017 ± 0.0478
18_maternal,11_all(dynamic+datawig+zero+knn),18,0.6978 ± 0.0495
18_maternal,11_all(dynamic+datawig+zero+knn),19,0.6983 ± 0.0494
18_maternal,11_all(dynamic+datawig+zero+knn),20,0.6996 ± 0.0507
18_maternal,11_all(dynamic+datawig+zero+knn),21,0.7010 ± 0.0516
18_maternal,11_all(dynamic+datawig+zero+knn),22,0.7013 ± 0.0522
18_maternal,11_all(dynamic+datawig+zero+knn),23,0.7025 ± 0.0533
18_maternal,11_all(dynamic+datawig+zero+knn),24,0.7013 ± 0.0532
18_maternal,11_all(dynamic+datawig+zero+knn),25,0.7029 ± 0.0535
18_maternal,11_all(dynamic+datawig+zero+knn),26,0.7027 ± 0.0535
18_maternal,11_all(dynamic+datawig+zero+knn),27,0.7027 ± 0.0528
18_maternal,11_all(dynamic+datawig+zero+knn),28,0.7025 ± 0.0526
18_maternal,11_all(dynamic+datawig+zero+knn),29,0.7028 ± 0.0525
18_maternal,11_all(dynamic+datawig+zero+knn),30,0.7023 ± 0.0520
18_maternal,2_zero + dynamic,1,0.6749 ± 0.0394
18_maternal,2_zero + dynamic,2,0.6798 ± 0.0449
18_maternal,2_zero + dynamic,3,0.6773 ± 0.0474
18_maternal,2_zero + dynamic,4,0.6706 ± 0.0444
18_maternal,2_zero + dynamic,5,0.6695 ± 0.0427
18_maternal,2_zero + dynamic,6,0.6753 ± 0.0441
18_maternal,2_zero + dynamic,7,0.6728 ± 0.0418
18_maternal,2_zero + dynamic,8,0.6727 ± 0.0425
18_maternal,2_zero + dynamic,9,0.6746 ± 0.0430
18_maternal,2_zero + dynamic,10,0.6773 ± 0.0432
18_maternal,2_zero + dynamic,11,0.6787 ± 0.0422
18_maternal,2_zero + dynamic,12,0.6778 ± 0.0449
18_maternal,2_zero + dynamic,13,0.6766 ± 0.0466
18_maternal,2_zero + dynamic,14,0.6766 ± 0.0466
18_maternal,2_zero + dynamic,15,0.6770 ± 0.0460
18_maternal,2_zero + dynamic,16,0.6758 ± 0.0463
18_maternal,2_zero + dynamic,17,0.6759 ± 0.0463
18_maternal,2_zero + dynamic,18,0.6726 ± 0.0478
18_maternal,2_zero + dynamic,19,0.6728 ± 0.0477
18_maternal,2_zero + dynamic,20,0.6738 ± 0.0497
18_maternal,2_zero + dynamic,21,0.6743 ± 0.0503
18_maternal,2_zero + dynamic,22,0.6747 ± 0.0512
18_maternal,2_zero + dynamic,23,0.6754 ± 0.0529
18_maternal,2_zero + dynamic,24,0.6736 ± 0.0528
18_maternal,2_zero + dynamic,25,0.6747 ± 0.0523
18_maternal,2_zero + dynamic,26,0.6740 ± 0.0526
18_maternal,2_zero + dynamic,27,0.6743 ± 0.0518
18_maternal,2_zero + dynamic,28,0.6736 ± 0.0518
18_maternal,2_zero + dynamic,29,0.6742 ± 0.0523
18_maternal,2_zero + dynamic,30,0.6743 ± 0.0520
