Dataset,method,Experiment,Accuracy
14_national,9_datawig+zero+knn.py,7,0.9226 ± 0.0196
14_national,9_datawig+zero+knn.py,8,0.9212 ± 0.0194
14_national,9_datawig+zero+knn.py,9,0.9208 ± 0.0190
14_national,9_datawig+zero+knn.py,10,0.9216 ± 0.0193
14_national,9_datawig+zero+knn.py,11,0.9234 ± 0.0196
14_national,9_datawig+zero+knn.py,12,0.9233 ± 0.0193
14_national,9_datawig+zero+knn.py,13,0.9239 ± 0.0192
14_national,9_datawig+zero+knn.py,14,0.9235 ± 0.0192
14_national,9_datawig+zero+knn.py,15,0.9241 ± 0.0187
14_national,9_datawig+zero+knn.py,16,0.9236 ± 0.0185
14_national,9_datawig+zero+knn.py,17,0.9234 ± 0.0183
14_national,9_datawig+zero+knn.py,18,0.9228 ± 0.0184
14_national,9_datawig+zero+knn.py,19,0.9224 ± 0.0193
14_national,9_datawig+zero+knn.py,20,0.9224 ± 0.0191
14_national,9_datawig+zero+knn.py,21,0.9230 ± 0.0188
14_national,9_datawig+zero+knn.py,22,0.9230 ± 0.0188
14_national,9_datawig+zero+knn.py,23,0.9226 ± 0.0186
14_national,9_datawig+zero+knn.py,24,0.9229 ± 0.0185
14_national,9_datawig+zero+knn.py,25,0.9226 ± 0.0186
14_national,9_datawig+zero+knn.py,26,0.9226 ± 0.0184
14_national,9_datawig+zero+knn.py,27,0.9220 ± 0.0183
14_national,9_datawig+zero+knn.py,28,0.9218 ± 0.0182
14_national,9_datawig+zero+knn.py,29,0.9214 ± 0.0181
14_national,9_datawig+zero+knn.py,30,0.9215 ± 0.0180
14_national,10_dynamic+zero+knn,1,0.8575 ± 0.0000
14_national,10_dynamic+zero+knn,2,0.8860 ± 0.0000
14_national,10_dynamic+zero+knn,3,0.8816 ± 0.0000
14_national,10_dynamic+zero+knn,4,0.8816 ± 0.0000
14_national,10_dynamic+zero+knn,5,0.8706 ± 0.0000
14_national,10_dynamic+zero+knn,6,0.8640 ± 0.0000
14_national,10_dynamic+zero+knn,7,0.8421 ± 0.0000
14_national,10_dynamic+zero+knn,8,0.8684 ± 0.0000
14_national,10_dynamic+zero+knn,9,0.8465 ± 0.0000
14_national,10_dynamic+zero+knn,10,0.8399 ± 0.0000
14_national,10_dynamic+zero+knn,11,0.8750 ± 0.0000
14_national,10_dynamic+zero+knn,12,0.8662 ± 0.0000
14_national,10_dynamic+zero+knn,13,0.8794 ± 0.0000
14_national,10_dynamic+zero+knn,14,0.8575 ± 0.0000
14_national,10_dynamic+zero+knn,15,0.8640 ± 0.0000
14_national,10_dynamic+zero+knn,16,0.8355 ± 0.0000
14_national,10_dynamic+zero+knn,17,0.8531 ± 0.0000
14_national,10_dynamic+zero+knn,18,0.8575 ± 0.0000
14_national,10_dynamic+zero+knn,19,0.8355 ± 0.0000
14_national,10_dynamic+zero+knn,20,0.8706 ± 0.0000
14_national,10_dynamic+zero+knn,21,0.8816 ± 0.0000
14_national,10_dynamic+zero+knn,22,0.8618 ± 0.0000
14_national,10_dynamic+zero+knn,23,0.8399 ± 0.0000
14_national,10_dynamic+zero+knn,24,0.8816 ± 0.0000
14_national,10_dynamic+zero+knn,25,0.8487 ± 0.0000
14_national,10_dynamic+zero+knn,26,0.8684 ± 0.0000
14_national,10_dynamic+zero+knn,27,0.8421 ± 0.0000
14_national,10_dynamic+zero+knn,28,0.8377 ± 0.0000
14_national,10_dynamic+zero+knn,29,0.8509 ± 0.0000
14_national,10_dynamic+zero+knn,30,0.8596 ± 0.0000
14_national,11_all(dynamic+datawig+zero+knn),1,0.9304 ± 0.0422
14_national,11_all(dynamic+datawig+zero+knn),2,0.9394 ± 0.0404
14_national,11_all(dynamic+datawig+zero+knn),3,0.9421 ± 0.0398
14_national,11_all(dynamic+datawig+zero+knn),4,0.9415 ± 0.0384
14_national,11_all(dynamic+datawig+zero+knn),5,0.9407 ± 0.0385
14_national,11_all(dynamic+datawig+zero+knn),6,0.9404 ± 0.0394
14_national,11_all(dynamic+datawig+zero+knn),7,0.9385 ± 0.0412
14_national,11_all(dynamic+datawig+zero+knn),8,0.9384 ± 0.0412
14_national,11_all(dynamic+datawig+zero+knn),9,0.9366 ± 0.0417
14_national,11_all(dynamic+datawig+zero+knn),10,0.9360 ± 0.0428
14_national,11_all(dynamic+datawig+zero+knn),11,0.9367 ± 0.0425
14_national,11_all(dynamic+datawig+zero+knn),12,0.9363 ± 0.0423
14_national,11_all(dynamic+datawig+zero+knn),13,0.9372 ± 0.0422
14_national,11_all(dynamic+datawig+zero+knn),14,0.9367 ± 0.0422
14_national,11_all(dynamic+datawig+zero+knn),15,0.9365 ± 0.0421
14_national,11_all(dynamic+datawig+zero+knn),16,0.9352 ± 0.0426
14_national,11_all(dynamic+datawig+zero+knn),17,0.9349 ± 0.0427
14_national,11_all(dynamic+datawig+zero+knn),18,0.9354 ± 0.0431
14_national,11_all(dynamic+datawig+zero+knn),19,0.9354 ± 0.0440
14_national,11_all(dynamic+datawig+zero+knn),20,0.9356 ± 0.0438
14_national,11_all(dynamic+datawig+zero+knn),21,0.9360 ± 0.0435
14_national,11_all(dynamic+datawig+zero+knn),22,0.9359 ± 0.0434
14_national,11_all(dynamic+datawig+zero+knn),23,0.9353 ± 0.0437
14_national,11_all(dynamic+datawig+zero+knn),24,0.9358 ± 0.0435
14_national,11_all(dynamic+datawig+zero+knn),25,0.9356 ± 0.0438
14_national,11_all(dynamic+datawig+zero+knn),26,0.9355 ± 0.0437
14_national,11_all(dynamic+datawig+zero+knn),27,0.9352 ± 0.0439
14_national,11_all(dynamic+datawig+zero+knn),28,0.9348 ± 0.0443
14_national,11_all(dynamic+datawig+zero+knn),29,0.9347 ± 0.0443
14_national,11_all(dynamic+datawig+zero+knn),30,0.9349 ± 0.0444
