Dataset,method,Experiment,Accuracy
6_chess,11_all(dynamic+datawig+zero+knn),5,0.9501 ± 0.0030
6_chess,11_all(dynamic+datawig+zero+knn),6,0.9500 ± 0.0028
6_chess,11_all(dynamic+datawig+zero+knn),7,0.9499 ± 0.0027
6_chess,11_all(dynamic+datawig+zero+knn),8,0.9502 ± 0.0027
6_chess,11_all(dynamic+datawig+zero+knn),9,0.9507 ± 0.0030
6_chess,11_all(dynamic+datawig+zero+knn),10,0.9509 ± 0.0029
6_chess,11_all(dynamic+datawig+zero+knn),11,0.9505 ± 0.0031
6_chess,11_all(dynamic+datawig+zero+knn),12,0.9503 ± 0.0031
6_chess,11_all(dynamic+datawig+zero+knn),13,0.9501 ± 0.0030
6_chess,11_all(dynamic+datawig+zero+knn),14,0.9496 ± 0.0034
6_chess,11_all(dynamic+datawig+zero+knn),15,0.9496 ± 0.0033
6_chess,11_all(dynamic+datawig+zero+knn),16,0.9497 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),17,0.9495 ± 0.0033
6_chess,11_all(dynamic+datawig+zero+knn),18,0.9495 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),19,0.9495 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),20,0.9493 ± 0.0033
6_chess,11_all(dynamic+datawig+zero+knn),21,0.9494 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),22,0.9494 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),23,0.9492 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),24,0.9493 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),25,0.9493 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),26,0.9493 ± 0.0031
6_chess,11_all(dynamic+datawig+zero+knn),27,0.9494 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),28,0.9493 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),29,0.9493 ± 0.0032
6_chess,11_all(dynamic+datawig+zero+knn),30,0.9493 ± 0.0032
6_chess,datawig,1,0.0497 ± 0.0000
6_chess,datawig,2,0.0481 ± 0.0000
6_chess,datawig,3,0.0481 ± 0.0000
6_chess,datawig,4,0.0529 ± 0.0000
6_chess,datawig,5,0.0554 ± 0.0000
6_chess,datawig,6,0.0535 ± 0.0000
6_chess,datawig,7,0.0519 ± 0.0000
6_chess,datawig,8,0.0479 ± 0.0000
