Dataset,method,Experiment,Accuracy
23_ai4i,11_all(dynamic+datawig+zero+knn),23,0.5701 ± 0.0514
23_ai4i,11_all(dynamic+datawig+zero+knn),24,0.5702 ± 0.0515
23_ai4i,11_all(dynamic+datawig+zero+knn),25,0.5701 ± 0.0513
23_ai4i,11_all(dynamic+datawig+zero+knn),26,0.5703 ± 0.0515
23_ai4i,11_all(dynamic+datawig+zero+knn),27,0.5701 ± 0.0515
23_ai4i,11_all(dynamic+datawig+zero+knn),28,0.5702 ± 0.0512
23_ai4i,11_all(dynamic+datawig+zero+knn),29,0.5700 ± 0.0513
23_ai4i,11_all(dynamic+datawig+zero+knn),30,0.5702 ± 0.0513
23_ai4i,9_datawig+zero+knn.py,1,0.6070 ± 0.0000
23_ai4i,9_datawig+zero+knn.py,2,0.6025 ± 0.0045
23_ai4i,9_datawig+zero+knn.py,3,0.6037 ± 0.0040
23_ai4i,9_datawig+zero+knn.py,4,0.6014 ± 0.0053
23_ai4i,9_datawig+zero+knn.py,5,0.6021 ± 0.0050
23_ai4i,9_datawig+zero+knn.py,6,0.6029 ± 0.0049
23_ai4i,9_datawig+zero+knn.py,7,0.6011 ± 0.0064
23_ai4i,9_datawig+zero+knn.py,8,0.6025 ± 0.0071
23_ai4i,9_datawig+zero+knn.py,9,0.6021 ± 0.0068
23_ai4i,9_datawig+zero+knn.py,10,0.5997 ± 0.0096
23_ai4i,9_datawig+zero+knn.py,11,0.5991 ± 0.0094
23_ai4i,9_datawig+zero+knn.py,12,0.5988 ± 0.0091
23_ai4i,9_datawig+zero+knn.py,13,0.5983 ± 0.0089
23_ai4i,9_datawig+zero+knn.py,14,0.5979 ± 0.0086
23_ai4i,9_datawig+zero+knn.py,15,0.5978 ± 0.0084
23_ai4i,9_datawig+zero+knn.py,16,0.5988 ± 0.0091
23_ai4i,9_datawig+zero+knn.py,17,0.5987 ± 0.0089
23_ai4i,9_datawig+zero+knn.py,18,0.5993 ± 0.0089
23_ai4i,9_datawig+zero+knn.py,19,0.5991 ± 0.0087
