Dataset,method,Experiment,Accuracy
20_obesity,9_datawig+zero+knn.py,26,0.1841 ± 0.0393
20_obesity,9_datawig+zero+knn.py,27,0.1834 ± 0.0393
20_obesity,9_datawig+zero+knn.py,28,0.1842 ± 0.0395
20_obesity,9_datawig+zero+knn.py,29,0.1838 ± 0.0394
20_obesity,9_datawig+zero+knn.py,30,0.1831 ± 0.0396
20_obesity,10_dynamic+zero+knn,1,0.8652 ± 0.0000
20_obesity,10_dynamic+zero+knn,2,0.8913 ± 0.0000
20_obesity,10_dynamic+zero+knn,3,0.8558 ± 0.0000
20_obesity,10_dynamic+zero+knn,4,0.8676 ± 0.0000
20_obesity,10_dynamic+zero+knn,5,0.8652 ± 0.0000
20_obesity,10_dynamic+zero+knn,6,0.8392 ± 0.0000
20_obesity,10_dynamic+zero+knn,7,0.8629 ± 0.0000
20_obesity,10_dynamic+zero+knn,8,0.8487 ± 0.0000
20_obesity,10_dynamic+zero+knn,9,0.8558 ± 0.0000
20_obesity,10_dynamic+zero+knn,10,0.8463 ± 0.0000
20_obesity,10_dynamic+zero+knn,11,0.8794 ± 0.0000
20_obesity,10_dynamic+zero+knn,12,0.8534 ± 0.0000
20_obesity,10_dynamic+zero+knn,13,0.8511 ± 0.0000
20_obesity,10_dynamic+zero+knn,14,0.8700 ± 0.0000
20_obesity,10_dynamic+zero+knn,15,0.8582 ± 0.0000
20_obesity,10_dynamic+zero+knn,16,0.8723 ± 0.0000
20_obesity,10_dynamic+zero+knn,17,0.8794 ± 0.0000
20_obesity,10_dynamic+zero+knn,18,0.8582 ± 0.0000
20_obesity,10_dynamic+zero+knn,19,0.8794 ± 0.0000
20_obesity,10_dynamic+zero+knn,20,0.8676 ± 0.0000
20_obesity,10_dynamic+zero+knn,21,0.8487 ± 0.0000
20_obesity,10_dynamic+zero+knn,22,0.8771 ± 0.0000
20_obesity,10_dynamic+zero+knn,23,0.8818 ± 0.0000
20_obesity,10_dynamic+zero+knn,24,0.8463 ± 0.0000
20_obesity,10_dynamic+zero+knn,25,0.8723 ± 0.0000
20_obesity,10_dynamic+zero+knn,26,0.8700 ± 0.0000
20_obesity,10_dynamic+zero+knn,27,0.8771 ± 0.0000
20_obesity,10_dynamic+zero+knn,28,0.8487 ± 0.0000
20_obesity,10_dynamic+zero+knn,29,0.8723 ± 0.0000
20_obesity,10_dynamic+zero+knn,30,0.8747 ± 0.0000
20_obesity,11_all(dynamic+datawig+zero+knn),1,0.8800 ± 0.0182
20_obesity,11_all(dynamic+datawig+zero+knn),2,0.8898 ± 0.0180
20_obesity,11_all(dynamic+datawig+zero+knn),3,0.8918 ± 0.0210
20_obesity,11_all(dynamic+datawig+zero+knn),4,0.8899 ± 0.0192
20_obesity,11_all(dynamic+datawig+zero+knn),5,0.8889 ± 0.0183
20_obesity,11_all(dynamic+datawig+zero+knn),6,0.8851 ± 0.0200
20_obesity,11_all(dynamic+datawig+zero+knn),7,0.8847 ± 0.0193
20_obesity,11_all(dynamic+datawig+zero+knn),8,0.8862 ± 0.0209
20_obesity,11_all(dynamic+datawig+zero+knn),9,0.8849 ± 0.0209
20_obesity,11_all(dynamic+datawig+zero+knn),10,0.8841 ± 0.0208
20_obesity,11_all(dynamic+datawig+zero+knn),11,0.8853 ± 0.0205
20_obesity,11_all(dynamic+datawig+zero+knn),12,0.8852 ± 0.0207
20_obesity,11_all(dynamic+datawig+zero+knn),13,0.8854 ± 0.0207
20_obesity,11_all(dynamic+datawig+zero+knn),14,0.8843 ± 0.0204
20_obesity,11_all(dynamic+datawig+zero+knn),15,0.8844 ± 0.0202
20_obesity,11_all(dynamic+datawig+zero+knn),16,0.8848 ± 0.0199
20_obesity,11_all(dynamic+datawig+zero+knn),17,0.8853 ± 0.0195
20_obesity,11_all(dynamic+datawig+zero+knn),18,0.8850 ± 0.0193
20_obesity,11_all(dynamic+datawig+zero+knn),19,0.8855 ± 0.0190
20_obesity,11_all(dynamic+datawig+zero+knn),20,0.8855 ± 0.0187
20_obesity,11_all(dynamic+datawig+zero+knn),21,0.8853 ± 0.0187
20_obesity,11_all(dynamic+datawig+zero+knn),22,0.8858 ± 0.0188
20_obesity,11_all(dynamic+datawig+zero+knn),23,0.8856 ± 0.0184
20_obesity,11_all(dynamic+datawig+zero+knn),24,0.8852 ± 0.0185
20_obesity,11_all(dynamic+datawig+zero+knn),25,0.8855 ± 0.0184
